Date,Time,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
6 July 1960 (1960-07-06),20:00,France , Yugoslavia,4,5,Semi-finals,,Parc des Princes, Paris,26370,1960
6 July 1960 (1960-07-06),21:30,Czechoslovakia , Soviet Union,0,3,Semi-finals,,Stade Vélodrome, Marseille,25184,1960
9 July 1960 (1960-07-09),21:30,Czechoslovakia , France,2,0,Third place play-off,,Stade Vélodrome, Marseille,9438,1960
10 July 1960 (1960-07-10),21:30,Soviet Union , Yugoslavia,2,1,Final,Soviet Union  win after extra time ,Parc des Princes, Paris,17966,1960
17 June 1964 (1964-06-17),20:00,Spain , Hungary,2,1,Semi-finals,Spain  win after extra time ,Santiago Bernabéu, Madrid,34713,1964
17 June 1964 (1964-06-17),22:30,Denmark , Soviet Union,0,3,Semi-finals,,Camp Nou, Barcelona,38556,1964
20 June 1964 (1964-06-20),20:00,Hungary , Denmark,3,1,Third place play-off,Hungary  win after extra time ,Camp Nou, Barcelona,3869,1964
21 June 1964 (1964-06-21),18:30,Spain , Soviet Union,2,1,Final,,Santiago Bernabéu, Madrid,79115,1964
5 June 1968 (1968-06-05),18:00,Italy , Soviet Union,0,0,Semi-finals, Soviet Union win after extra time ,Stadio San Paolo, Naples,68582,1968
5 June 1968 (1968-06-05),21:15,Yugoslavia , England,1,0,Semi-finals,,Stadio Comunale, Florence,21834,1968
8 June 1968 (1968-06-08),15:00,England , Soviet Union,2,0,Third place play-off,,Stadio Olimpico, Rome,68817,1968
8 June 1968 (1968-06-08),21:15,Italy , Yugoslavia,1,1,Final, Yugoslavia win after extra time ,Stadio Olimpico, Rome,68817,1968
10 June 1968 (1968-06-10),21:15,Italy , Yugoslavia,2,0,Final,,Stadio Olimpico, Rome,32886,1968
14 June 1972 (1972-06-14),20:00,Hungary , Soviet Union,0,1,Semi-finals,,Stade Émile Versé, Brussels,1659,1972
14 June 1972 (1972-06-14),20:00,Belgium , West Germany,1,2,Semi-finals,,Bosuilstadion, Antwerp,55669,1972
17 June 1972 (1972-06-17),20:00,Hungary , Belgium,1,2,Third place play-off,,Stade Maurice Dufrasne, Liège,6184,1972
18 June 1972 (1972-06-18),16:00,West Germany , Soviet Union,3,0,Final,,Heysel Stadium, Brussels,43066,1972
16 June 1976 (1976-06-16),20:15,Czechoslovakia , Netherlands,3,1,Semi-finals,Czechoslovakia  win after extra time ,Stadion Maksimir, Zagreb,17879,1976
17 June 1976 (1976-06-17),20:15,Yugoslavia , West Germany,2,4,Semi-finals, West Germany win after extra time ,Red Star Stadium, Belgrade,50652,1976
19 June 1976 (1976-06-19),20:15,Netherlands , Yugoslavia,3,2,Third place play-off,Netherlands  win after extra time ,Stadion Maksimir, Zagreb,6766,1976
20 June 1976 (1976-06-20),20:15,Czechoslovakia , West Germany,2,2,Final,Czechoslovakia  win on Penalities 5–3,Red Star Stadium, Belgrade,30790,1976
11 June 1980 (1980-06-11),17:45,Czechoslovakia , West Germany,0,1,Group 1,,Stadio Olimpico, Rome,10500,1980
11 June 1980 (1980-06-11),20:30,Netherlands , Greece,1,0,Group 1,,Stadio San Paolo, Naples,14990,1980
14 June 1980 (1980-06-14),17:45,West Germany , Netherlands,3,2,Group 1,,Stadio San Paolo, Naples,29889,1980
14 June 1980 (1980-06-14),20:30,Greece , Czechoslovakia,1,3,Group 1,,Stadio Olimpico, Rome,7614,1980
17 June 1980 (1980-06-17),17:45,Netherlands , Czechoslovakia,1,1,Group 1,,San Siro, Milan,11889,1980
17 June 1980 (1980-06-17),20:30,Greece , West Germany,0,0,Group 1,,Stadio Comunale, Turin,13901,1980
12 June 1980 (1980-06-12),17:45,Belgium , England,1,1,Group 2,,Stadio Comunale, Turin,15186,1980
12 June 1980 (1980-06-12),20:30,Spain , Italy,0,0,Group 2,,San Siro, Milan,46337,1980
15 June 1980 (1980-06-15),17:45,Belgium , Spain,2,1,Group 2,,San Siro, Milan,11430,1980
15 June 1980 (1980-06-15),20:30,England , Italy,0,1,Group 2,,Stadio Comunale, Turin,59649,1980
18 June 1980 (1980-06-18),17:45,Spain , England,1,2,Group 2,,Stadio San Paolo, Naples,14440,1980
18 June 1980 (1980-06-18),20:30,Italy , Belgium,0,0,Group 2,,Stadio Olimpico, Rome,42318,1980
21 June 1980 (1980-06-21),20:30,Czechoslovakia , Italy,1,1,Third place play-off,,Stadio San Paolo, Naples,24652,1980
22 June 1980 (1980-06-22),20:30,Belgium , West Germany,1,2,Final,,Stadio Olimpico, Rome,47860,1980
12 June 1984 (1984-06-12),20:30,France , Denmark,1,0,Group 1,,Parc des Princes, Paris,47570,1984
