Tag; Feiertage; Bundesland
01.01.2018; Neujahr; Nordrhein-Westfalen
30.03.2018; Karfreitag; Nordrhein-Westfalen
02.04.2018; Ostermontag; Nordrhein-Westfalen
01.05.2018; Maifeiertag; Nordrhein-Westfalen
10.05.2018; Christi Himmelfahrt; Nordrhein-Westfalen
21.05.2018; Pfingstmontag; Nordrhein-Westfalen
31.05.2018; Fronleichnam; Nordrhein-Westfalen
03.10.2018; Tag der Deutschen Einheit; Nordrhein-Westfalen
01.11.2018; Allerheiligen; Nordrhein-Westfalen
25.12.2018; 1. Weihnachtstag; Nordrhein-Westfalen
26.12.2018; 2. Weihnachtstag; Nordrhein-Westfalen
01.01.2019; Neujahr; Nordrhein-Westfalen
19.04.2019; Karfreitag; Nordrhein-Westfalen
22.04.2019; Ostermontag; Nordrhein-Westfalen
01.05.2019; Maifeiertag; Nordrhein-Westfalen
30.05.2019; Christi Himmelfahrt; Nordrhein-Westfalen
10.06.2019; Pfingstmontag; Nordrhein-Westfalen
20.06.2019; Fronleichnam; Nordrhein-Westfalen
03.10.2019; Tag der Deutschen Einheit; Nordrhein-Westfalen
01.11.2019; Allerheiligen; Nordrhein-Westfalen
25.12.2019; 1. Weihnachtstag; Nordrhein-Westfalen
26.12.2019; 2. Weihnachtstag; Nordrhein-Westfalen
01.01.2020; Neujahr; Nordrhein-Westfalen
10.04.2020; Karfreitag; Nordrhein-Westfalen
13.04.2020; Ostermontag; Nordrhein-Westfalen
01.05.2020; Maifeiertag; Nordrhein-Westfalen
21.05.2020; Christi Himmelfahrt; Nordrhein-Westfalen
01.06.2020; Pfingstmontag; Nordrhein-Westfalen
11.06.2020; Fronleichnam; Nordrhein-Westfalen
03.10.2020; Tag der Deutschen Einheit; Nordrhein-Westfalen
01.11.2020; Allerheiligen; Nordrhein-Westfalen
25.12.2020; 1. Weihnachtstag; Nordrhein-Westfalen
26.12.2020; 2. Weihnachtstag; Nordrhein-Westfalen
01.01.2021; Neujahr; Nordrhein-Westfalen
02.04.2021; Karfreitag; Nordrhein-Westfalen
05.04.2021; Ostermontag; Nordrhein-Westfalen
01.05.2021; Maifeiertag; Nordrhein-Westfalen
13.05.2021; Christi Himmelfahrt; Nordrhein-Westfalen
24.05.2021; Pfingstmontag; Nordrhein-Westfalen
03.06.2021; Fronleichnam; Nordrhein-Westfalen
03.10.2021; Tag der Deutschen Einheit; Nordrhein-Westfalen
01.11.2021; Allerheiligen; Nordrhein-Westfalen
25.12.2021; 1. Weihnachtstag; Nordrhein-Westfalen
26.12.2021; 2. Weihnachtstag; Nordrhein-Westfalen
01.01.2022; Neujahr; Nordrhein-Westfalen
15.04.2022; Karfreitag; Nordrhein-Westfalen
18.04.2022; Ostermontag; Nordrhein-Westfalen
01.05.2022; Maifeiertag; Nordrhein-Westfalen
26.05.2022; Christi Himmelfahrt; Nordrhein-Westfalen
06.06.2022; Pfingstmontag; Nordrhein-Westfalen
16.06.2022; Fronleichnam; Nordrhein-Westfalen
03.10.2022; Tag der Deutschen Einheit; Nordrhein-Westfalen
01.11.2022; Allerheiligen; Nordrhein-Westfalen
25.12.2022; 1. Weihnachtstag; Nordrhein-Westfalen
26.12.2022; 2. Weihnachtstag; Nordrhein-Westfalen

